Censo de Población y Vivienda
Derecho a la Ciudad
Derecho a la alimentación
Derecho a la alimentación y a la nutrición
Derecho a la buena administración pública
Derecho a la ciencia y a la innovación tecnológica
Derecho a la educación
Derecho a la información
Derecho a la integridad
Derecho a la movilidad
Derecho a la reparación integral
Derecho a la salud
Derecho a la seguridad ciudadana y a la prevención de la violencia y del delito
Derecho a la seguridad urbana y a la protección civil
"Derecho a la tierra, al territorio y a los recursos naturales"
Derecho a la vida digna
Derecho a la vivienda
Derecho a la vía pública
Derecho a un medio ambiente sano
Derecho a una vida libre de todo tipo de violencia o discriminación
Derecho al agua y a su saneamiento
Derecho al deporte
Derecho al desarrollo sustentable
Derecho al espacio público
Derecho al trabajo
Derecho de acceso a la justicia
Derechos culturales
Derechos de las mujeres
"Derechos de las niñas, niños y adolescentes"
Derechos de las personas en situación de calle
Derechos de las personas migrantes y sujetas de protección internacional
Derechos de personas con discapacidad
Derechos de personas de identidad indígena
Derechos de personas mayores
Derechos laborales
"Economía, Trabajo y Seguridad Social"
"Economía, Trabajo y Seguridad social"
No vinculado
Protección a los animales
Reducción de las desigualdades
